,asin,brand,title,url,rating,totalReviews,price,Review_URL,Price (Euros)
145,B06XYKR7GP,Samsung,Samsung Galaxy S8+ 64GB GSM Unlocked Phone - International Version (Midnight Black),https://www.amazon.com/Samsung-Galaxy-64GB-Unlocked-Phone/dp/B06XYKR7GP,4.0,54.0,459.98,http://www.amazon.com/reviews/B06XYKR7GP,446.18
146,B06XYMCMHD,Samsung,"Samsung Galaxy S8 SM-G950F Unlocked 64GB - International Version/No Warranty (GSM Only, No CDMA) (Midnight Black)",https://www.amazon.com/Samsung-Galaxy-SM-G950F-Unlocked-64GB/dp/B06XYMCMHD,3.9,117.0,399.99,http://www.amazon.com/reviews/B06XYMCMHD,387.99
147,B06XZPNYL7,Samsung,Samsung Galaxy S8 64GB GSM Unlocked Phone - International Version (Orchid Gray),https://www.amazon.com/Samsung-Galaxy-64GB-Unlocked-Phone/dp/B06XZPNYL7,3.1,20.0,398.11,http://www.amazon.com/reviews/B06XZPNYL7,386.17
148,B06XZRH5ZC,Samsung,Samsung Galaxy S8 64GB Unlocked Phone - International Version (Maple Gold),https://www.amazon.com/Samsung-Galaxy-64GB-Unlocked-Phone/dp/B06XZRH5ZC,4.0,117.0,429.99,http://www.amazon.com/reviews/B06XZRH5ZC,417.09
150,B06Y14K2C6,Samsung,"Samsung Galaxy S8+ 64GB Phone -6.2"" display - T-Mobile Unlocked (Arctic Silver)",https://www.amazon.com/Samsung-Galaxy-64GB-Phone-display/dp/B06Y14K2C6,4.1,83.0,439.98,http://www.amazon.com/reviews/B06Y14K2C6,426.78
151,B06Y14T5YW,Samsung,Samsung Galaxy S8 64GB Factory Unlocked Smartphone - US Version (Midnight Black) - US Warranty - [SM-G950UZKAXAA],https://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Smartphone/dp/B06Y14T5YW,4.0,2.0,399.95,http://www.amazon.com/reviews/B06Y14T5YW,387.95
152,B06Y15CB1T,Samsung,Samsung Galaxy S8 64GB GSM Unlocked Phone - US Version (Coral Blue),https://www.amazon.com/Samsung-Galaxy-64GB-Unlocked-Phone/dp/B06Y15CB1T,4.0,3.0,419.95,http://www.amazon.com/reviews/B06Y15CB1T,407.35
153,B06Y15D68F,Samsung,Samsung Galaxy S8 64GB Unlocked Phone - US Version (Orchid Gray),https://www.amazon.com/Samsung-Galaxy-64GB-Unlocked-Phone/dp/B06Y15D68F,3.6,24.0,393.55,http://www.amazon.com/reviews/B06Y15D68F,381.74
154,B06Y16RL4W,Samsung,"Samsung Galaxy S8+ 64GB Factory Unlocked Smartphone - 6.2"" Screen - US Version (Midnight Black) - US Warranty [SM-G955UZKAXAA]",https://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Smartphone/dp/B06Y16RL4W,3.7,793.0,399.98,http://www.amazon.com/reviews/B06Y16RL4W,387.98
155,B06Y17BL9Y,Samsung,Samsung Galaxy S8 G950U 64GB AT&T GSM Unlocked Phone - Orchid Grey,https://www.amazon.com/Samsung-Galaxy-G950U-Unlocked-Phone/dp/B06Y17BL9Y,2.5,4.0,319.99,http://www.amazon.com/reviews/B06Y17BL9Y,310.39
156,B06Y189H68,Samsung,"Samsung Galaxy S8 64GB Phone- 5.8"" display - AT&T Unlocked (Midnight Black)",https://www.amazon.com/Samsung-Galaxy-64GB-Phone-display/dp/B06Y189H68,3.5,48.0,414.98,http://www.amazon.com/reviews/B06Y189H68,402.53
157,B06Y18MNFG,Samsung,Samsung Galaxy S7 G930T 32GB T-Mobile Unlocked - Gold (Certified Refurbished),https://www.amazon.com/Samsung-Galaxy-G930T-T-Mobile-Unlocked/dp/B06Y18MNFG,2.8,5.0,234.95,http://www.amazon.com/reviews/B06Y18MNFG,227.9
158,B06Y29N548,Samsung,Samsung Galaxy S7 Edge G935A 32GB Unlocked GSM Smartphone w/12MP Camera - Black,https://www.amazon.com/Samsung-Galaxy-Unlocked-Smartphone-Camera/dp/B06Y29N548,3.5,25.0,249.95,http://www.amazon.com/reviews/B06Y29N548,242.45
